Text,Label
"we have: ω 1x = φ 11 −1 d 1x + φ 12 −1 d 2x = φ 12 −1 d 2x ω 2x = φ 21 −1 d 1x + φ 22 −1 d 2x = φ 22 −1 d 2x = d 2x ω 1y = φ 11 −1 d 1y + φ 12 −1 d 2y = φ 12 −1 d 2y ω 2y = φ 21 −1 d 1y + φ 22 −1 d 2y = φ 22 −1 d 2y = d 2y where φ i −1 j is the (i, j)th element of Φ −1",own_claim
we simplify SSD as a rotation transformation ignoring other issues such as accumulating effects from the first joint,own_claim
only the second joint is rotating,own_claim
"in forward case, the direction of deformed vertex always keeps the same with the example cylinder",own_claim
( figure 4 ),data
"For inverse PSD however, that direction is changed along with the rotation of the joint",own_claim
PSD is supposed to be a method as “local” correction,own_claim
pose space should not be extended to a whole space that has to incorporate all influenced objects,own_claim
a matter of experience,data
large amount of unnecessary works of building examples will be required,own_claim
the distance between different poses is also meaningless,own_claim
most of which have been implemented in most animation packages,background_claim
"in many circumstances, other deformation schemes will be adopted",background_claim
[ 10 ],data
[ 9 ],data
we can deform the original character model from rest pose to another specific pose,own_claim
One advantage of Powell’s classic method is that it does not need explicit computation of the function’s gradient,background_claim
[ 12 ],data
Powell’s method is suitable,own_claim
"we are treating the skinning operations as a “black box”, their gradient is not available",data
"after repeated cycles of M line minimizations on conjugate directions, the optimization will in due course converge to the minimum",background_claim
[ 12 ],data
"If the SSD transformation in equation 1 is singular, some types of inverse PSD deformation will not be possible",own_claim
any component of the desired deformation that lies in the null space of the SSD matrix will be ignored,data
singular cases are rare,own_claim
it is possible to handle these cases with a small rearrangement of the inverse PSD approach,own_claim
"one example is a joint with 180 o rotation and equal 2 1 , 2 1 weights on the two joint frames, which is an unrealistic case of selfintersection",data
it will be generally be zero,own_claim
w i is being minimized,data
will be non-zero only if it is not possible to obtain the desired deformation v i using SKINNING i (v r + d i ),own_claim
Inverse skinning integrates SSD and shape interpolation more firmly than its forward rival.,own_claim
the inverse approach presents better performance and more consistent interpolation,own_claim
Figure 7 to Figure 10,data
"the direction of deformed vertex in inverse skinning is linearly proportional to joint rotations in a simplified example, while the forward PSD does not incorporate the direction information",own_claim
the minimizing process will introduce more cost,own_claim
The cost of the inverse operation is not critical,own_claim
it is a one time “setup” cost,own_claim
the compute time is insignificant compared to the human time required to sculpt the desired deformations,own_claim
a frame goes wrong,data
physical principles,data
the model is very detailed,data
playback of animation becomes quite heavy and time consuming,data
For those applications that require visual fidelity,background_claim
SSD serves only as a basic framework,background_claim
PSD smoothly interpolates these meshes in pose space and produces visually attractive animations,background_claim
"Besides SSD, other skinning approaches",background_claim
can also be applied,background_claim
rigid skinning,data
Free Form Deformation,data
physical modelling and animation is another field providing realistic character simulations,background_claim
Simpler parametric skinning approaches (of which SSD is the prototype) have a fixed number of parameters,background_claim
the direction of deformed vertices from inverse skinning is a linear function of joint rotation,own_claim
"in the forward approach, that direction is kept as a constant",own_claim
propose a unified framework which can be implemented on high-end commercial packages while allowing any proprietary skinning operators to be incorporated,own_claim
Skeleton Subspace Deformation (SSD) is a basic algorithm that is used to define how the character surface deforms following movements of its underlying skeletons,background_claim
[ 11 ],data
SSD is adopted to define this relation,data
"each vertex or control point of the character surface is provided with a list of joints, that will influence it, along with the weight indicating the amount of influence",background_claim
the position of a vertex in the animated pose is the result of weighted linear blending of its transformation by each associated joint,background_claim
the character is animated,data
The famous SSD problem of “collapsed elbow”,background_claim
sculpted in N example poses,data
a vertex v,data
"there are N delta d i , i = 0, . . . , N − 1 corresponding to each pose x i , i = 0, . . . , N − 1",own_claim
SSD as the underlying skinning,own_claim
an explicit form of basic skinning can help to simplify our task of explanation,own_claim
"in the rest pose, we didn’t generate any movement for v",data
"d 1 = [d 1x , d 1y ] = [0, 0]",own_claim
by solving above equation,data
i = j,data
φ i −1 j = 1,own_claim
"this angle α p is a constant and depends only on the value of delta in the second pose d 2 = [d 2x , d 2y ]",own_claim
tan α p = d d x y = ω ω 1x 1y φ φ (x (x − − x x 1 1 ) ) + + ω ω 2y 2x φ φ (x (x − − x x 2 2 ) ) = φ φ 12 12 −1 −1 d d 2x 2y φ φ (x (x − − x x 1 1 ) ) + + d d 2x 2y φ φ (x (x − − x x 2 2 ) ) = d 2y d 2x,own_claim
tan α p = d d x y,own_claim
The case described above is quite common in practice,own_claim
"animating shoulder, elbow, knee, hip-bone, neck",data
All these parts would rotate from the rest pose with some angle to other poses,own_claim
a unified framework in which no explicit inverse operation is necessitated,own_claim
a basic skinning method supported by animation packages,data
v i t = v i + d i = SKINNING i (v r ) + d i,own_claim
we need to replace SSD with SKINNING in the inverse skinning algorithm as such for equation 4,own_claim
the more general case,data
To find delta d i in the rest pose: v i = SKINNING i (v r ) + d i = SKINNING i (v r + d i ) we can setup a minimization problem to minimize the function,own_claim
This function can be given to Powell’s method to find d i at the minimum of f (d ),own_claim
"For each example pose P i , we have a d i",data
we can apply radial basis function to d i (i = 0 . . . n − 1) in pose space to obtain ω i (i = 0 . . . n − 1),own_claim
Minimizing the function f (d ) in a particular direction is actually minimization problem of one variable,own_claim
Powell’s idea is trying to find each minimum of function f (d ) in different direction until f (d ) stops decreasing,background_claim
How to choose the next direction is the main concern of Powell’s method,background_claim
"In Maya, “tweaking” is a procedure adding delta values to original surface vertices before any deformations",background_claim
It is actu- ally Maya’s form of rest-pose editing for their built-in deformation operators,background_claim
the whole system is divided into two phases,own_claim
Figure 6,data
The first phase is to find each delta in the rest pose corresponding to each example pose,own_claim
the second phase that is a linear system performing RBF interpolation to obtain the PSD weights,own_claim
only minimal code changed are required,own_claim
The final synthesis is then v x = SKINNING(v r + d x ) + w x where w x is interpolated after SKINNING by applying the same RBF scheme as used for d x,own_claim
the SSD transform is nearsingular,data
"the solved d i can be much large than other d k , which can result in poorly posed interpolation",own_claim
the synthesis is potentially realtime,own_claim
no extra computing is involved in this process,own_claim
the linear system is solved,data
only one joint rotation and two example poses are considered,data
A nice review of SSD is given,background_claim
1,data
resculpting models,data
re-rigging skeletons,data
Real-time animation of deformable objects is always a compromise between visual fidelity and computation complexity,background_claim
Other aspects are quite important as well,background_claim
the amount of artists work necessary to design the model,data
there exist many algorithms for modeling deformable objects in the literature,background_claim
They differ by the intended area of application and generality of allowed models,background_claim
"Its most popular representative, known generally as the skeletal animation, is based on simple but versatile structure",background_claim
It consists of joints,data
The segments connecting the joints are conveniently interpreted as bones,background_claim
The skeleton is,background_claim
a tree whose nodes are identified with the joints and edges with the bones,background_claim
"The only displayed element is a skin, a 3D polygonal mesh, usually equipped with normal and texture data",background_claim
the terminology is adopted from the virtual humanoid modeling,background_claim
the skeletal animation is not limited to character animation,background_claim
it can be applied to a wide range of soft objects,background_claim
imaginary (cartoon) creatures,data
plants,data
furniture,data
This is an apparent advantage over complex systems which rely on explicit anatomy,background_claim
The skeleton simplifies the animation task considerably,background_claim
"instead of animating each vertex individually, it is sufficient to manipulate the skeleton, and the skin deforms automatically",background_claim
The skeletal animation in general does not specify how exactly the skeleton posture should be propagated to the skin,background_claim
there is an established standard used in majority of real-time 3D applications,background_claim
"It comes by many names, all relating to the same algorithm: linear blend skinning (LBS), skeleton subspace deformation, vertex blending, enveloping, or simply skinning",background_claim
LBS is very fast and advantageous to graphics hardware,background_claim
"it suffers from inherent artifacts, known as ”collapsing joints”, ”twisting elbow problem” or a ”candy-wrapper artifact",background_claim
the mesh deformed by LBS loses volume as the joint rotation increases,background_claim
An early contribution concerning the animation of deformable objects is,background_claim
which considers the movement of a human hand,background_claim
Magnenat-Thalmann et al. 1988,data
"First 3D characters used in numerous computer games were animated by simple, often unpublished algorithms",background_claim
the basic principles of LBS were described by the game development community,background_claim
Lander 1998,data
Lander 1999,data
The artifacts of LBS were discovered soon,background_claim
Weber 2000,data
An improvement based on addition of auxiliary joints has been also proposed in,background_claim
Weber 2000,data
this reduces the artifacts,background_claim
the skin to joints relationship must be re-designed after joint addition,background_claim
The number and location of the additional joints remains questionable,background_claim
Another problem is how the movement of the original skeleton should be propagated into the augmented one,background_claim
More formal articles consider skin deformation as an interpolation problem,background_claim
Lewis et al. 2000,data
Similar method is presented in,background_claim
Sloan et al. 2001,data
Kry et al. 2002,data
"The latter de-correlates the deformation displacements using principal component analysis, which reduces the memory requirements considerably",background_claim
The advantage of example based methods is that they capture the designed shape,background_claim
The drawback is the necessity of acquiring the example skins,background_claim
including effects like muscle bulging,background_claim
An interesting generalization of LBS is called multi-weight enveloping,background_claim
Wang and Phillips 2002,data
greater flexibility to the deformation algorithm,background_claim
It introduces more parameters,background_claim
The disadvantage is obvious,background_claim
the LBS models can be weighted manually by artists,background_claim
this is questionable with multiweight enveloping,background_claim
Steed 2002,data
Tools that help animators to design the vertex weights are described in,background_claim
Mohr et al. 2003,data
This article is interesting also from the theoretical point of view,background_claim
it describes how to explore the space of all possible LBS deformations,background_claim
Another deformation algorithm,background_claim
uses a complex auxiliary structure – a medial,background_claim
Bloomenthal 2002,data
An idea similar to spherical blend skinning (SBS) is bones blending proposed by,background_claim
Kavan and Zára ˇ 2003,data
bones blending is limited to vertices attached to only two joints,background_claim
it requires hand-tuning of special parameters,background_claim
"Another algorithm removes the LBS artifacts by adding additional joints, and computes the vertex weights automatically using examples",background_claim
Mohr and Gleicher 2003,data
A recent skin deformation algorithm presented in,background_claim
seems to give results competitive to SBS,background_claim
it is based on a different mathematical fundament,background_claim
Magnenat-Thalmann et al. 2004,data
Alexa 2002,data
this method is considerably slower than LBS,background_claim
recommends to use rather the standard LBS,background_claim
the joint rotations are small,data
Magnenat-Thalmann et al. 2004,data
"the linear blend skinning is still widely used in many applications, in spite of the artifacts",background_claim
there are many methods correcting the problems of LBS,background_claim
none of them is superior to LBS in all aspects,background_claim
"the artifacts of LBS are caused by the straightforward, linear interpolation of vertex positions",own_claim
a linear blending is not suitable to capture deformations induced by skeleton,own_claim
their nature is rather spherical,own_claim
we suggest to use a quaternion representation,own_claim
we consider transformations consisting of a translation and rotation,data
the choice of the center of rotation influences the result of interpolation considerably,own_claim
we cope with two main problems,own_claim
determination of the center of rotation,own_claim
interpolation of multiple quaternions,own_claim
The second problem is simple in the case of two quaternions,background_claim
gets considerably harder for more than two rotations,background_claim
Shoemake 1985,data
Buss and Fillmore 2001,data
Park et al. 2002,data
Alexa 2002,data
we use a simple linear quaternion averaging,own_claim
the previous methods are not efficient enough for our purpose,background_claim
this solution is appropriate for our task (and probably for many others),own_claim
we obtain a skin animation algorithm that deforms the mesh in much more plausible way then LBS,own_claim
Resolving those problems,own_claim
we change only the interpolation domain and not the input data,own_claim
our program works with exactly the same models as LBS,own_claim
The proposed algorithm improves a deformed shape even of models that have been designed and carefully tuned for LBS,own_claim
it provides an attractive alternative to classic LBS,own_claim
Considering the high speed and low memory demands of SBS,background_claim
We compare the shape of the deformed skin on the model of woman,own_claim
human eye is most sensitive to the deformations of human body,own_claim
both algorithms produce similar results,own_claim
For small deformations,data
second row of Figure 6,data
the results of SBS are better,own_claim
the models have been optimised to work with the LBS algorithm,own_claim
this number is surprisingly small in practice,own_claim
the joint influences tend to be local,own_claim
it is unlikely to find vertices influenced by both left and right wrist,own_claim
"this amount of memory is negligible, considering the number of different non-trivial joint sets",own_claim
The additional memory needed for SBS is dominated by caching the computed centers of rotation,own_claim
the difference in the deformed skin was barely observable,own_claim
results from section 4.1,data
the increase in the execution time was quite substantial,own_claim
"For the woman model, the time increased from original 4.54ms to 22.74ms",data
This only confirmed our choice of QLERP,own_claim
The algorithm proposed in,own_claim
behaves like SLERP for the case of two rotations,own_claim
Buss and Fillmore 2001,data
"in contrast to QLERP, which only approximates SLERP results",own_claim
it is exactly the number of singular-value decompositions performed by the SBS algorithm,own_claim
Table 2,data
"Theoretically, the number of different non-trivial joint sets could be very high",own_claim
This number participates considerably on the difference between times for LBS and SBS,own_claim
The proposed skin deformation system is by no means perfect,own_claim
"it cannot compete with complex, layered models",own_claim
the SBS algorithm offers reasonable price for elimination of the notorious LBS artifacts,own_claim
The overhead of replacing an existing LBS implementation by SBS is minima,own_claim
"the input data, as well as the internal data structures, are the same",data
SBS does not need any additional information,own_claim
It would be interesting to find out how much can be the SBS results improved by a set of weights especially designed for SBS,own_claim
a tool to explore the space of SBS deformations would help considerably,own_claim
the situation of SBS is somewhat more complex,own_claim
our interpolation method is non-linear,data
This tool has been presented for LBS,background_claim
Mohr et al. 2003,data
it would be possible to estimate the SBS vertex weights from examples,own_claim
as was done for LBS,background_claim
Mohr and Gleicher 2003,data
This could also cover additional effects like muscle bulging,own_claim
The polygonal mesh and the skeleton are designed in a reference position,background_claim
virtual characters are often posed in the da Vinci posture,background_claim
Steed 2002,data
"To compute the shape of the deformed skin, we need yet another set of matrices, describing the position and orientation of joints in the actual, animated posture",own_claim
The most simple skin deformation algorithm computes v = F j A −1 j v,own_claim
the first matrix A −1 j transforms v to the position with joint j’s coordinate system aligned to the world coordinate system,own_claim
The following transformation F j returns the vertex to its current position induced by the animated skeleton,own_claim
these transformations usually occur together,own_claim
we define the ”complete” matrix C j = F j A −1 j,own_claim
Some older computer games animated characters in this way,background_claim
"it does not produce nice, smooth deformations",own_claim
The linear blend skinning allows assignment of one vertex to multiple bone,background_claim
n = 2,data
vertex v lies on the line segment connecting C j 1 v and C j 2 v,own_claim
the SBS works on a circular arc instead of segment,own_claim
Figure 1,data
the joint rotations are large,data
the LBS produces non-natural deformations,own_claim
"In the extremal case of rotation by 180 degrees, the skin can collapse to a single point",own_claim
It is the notorious ”candy-wrapper” artifact,own_claim
Figure 2,data
"To understand why this undesirable effect occurs, it is sufficient to re-arrange the equation",own_claim
This formula is less efficient,own_claim
it blends matrices instead of vectors,data
gives us a valuable insight,own_claim
It is well known that the component-wise interpolation of matrices produces odd results,background_claim
it does not preserve the orthogonality of the rotational part of the matrix,own_claim
"In some situations, it does not preserve even the rank of the interpolated matrices",own_claim
This is exactly what happens in the ”candywrapper” problem: the single point the skin collapses to is a result of transformation by a singular matrix,own_claim
A similar defect is visible also in the proximity of the singular configuration,own_claim
the matrix is regular,data
"it involves a non-uniform scaling and skewing, which is responsible for the loss of volume of the deformed skin even for small rotations",own_claim
we propose to change the interpolation method in (2),own_claim
An established interpolation of two rotations is spherical linear interpolation (SLERP),background_claim
Shoemake 1985,data
the linear interpolation of the translation part of C j i matrices is all right,own_claim
Its key of success is the use of quaternions to represent rotations,background_claim
The more important problem is to compute a convenient center of the interpolated rotations,own_claim
this is really an important problem,own_claim
it is obvious that the center of rotation choice in the left column is much more advantageous,own_claim
it is not possible to simply replace matrices C j i in (2) with corresponding pairs quaternion-translation,own_claim
One of the problems is that the linear interpolation of quaternions is not equivalent to SLERP,own_claim
this is not the most serious difficulty,own_claim
the transformed rotation center is constant during the interpolation,own_claim
C j 1 r c = C j 2 r c,data
C j 1 r c = C j 2 r c,data
the transformed rotation center is linearly interpolated from C j 1 r c to C j 2 r c,own_claim
the interpolation of every single point is a circular arc,own_claim
Figure 1,data
a disturbing drift is inherent to any other choice of rotation cente,own_claim
r c,data
the condition of zero translation cannot be always satisfied,own_claim
for more than two influencing joints,data
the vertex is attached to only two joints k and l that are not neighbours of each other,data
some translation may be inevitable,own_claim
"there is no relative rotation between C k and C l , but there is a relative translation induced by the joints in the chain between k and l",data
no choice of the center of rotation can avoid this translation,own_claim
the rotation is identity,data
it is possible to define the rotation center as the point whose transformations by associated matrices are as close as possible,own_claim
"This minimizes the drift and works even if the vertex is assigned to n joints j 1 , . . . , j n",own_claim
We find the center of rotation r c as the,own_claim
"least-squares solution of the system of n 2 linear vector equations C a r c = C b r c , a &lt; b, a, b ∈ { j 1 , . . . , j n }",own_claim
"we cannot make any assumptions about the rank of matrix D, which can vary from 0 to 3",own_claim
for example n = 2 and C j 1 = C j 2,data
there are multiple solutions giving the minimal Dr c − e,data
the r c with the minimal norm is chosen,own_claim
LAPACK routines are efficient,background_claim
computation of the center of rotation per each vertex would not result in a real-time algorithm,own_claim
Anderson et al. 1999,data
we can re-use the center of rotation computed formerly (cached,own_claim
"we encounter another vertex assigned to the same set of joints j 1 , . . . , j n",data
"the center of rotation depends only on the transformations of the joints j 1 , . . . , j n and not the vertex itself",data
"there is only one, or two neighboring joints that influence the vertex",data
we can determine the center of rotation precisely (as indicated in the beginning of this section) and omit the SVD computation at all,own_claim
This enables the real-time performance,own_claim
"the number of different non-trivial joint sets, and therefore the number of running the SVD, is surprisingly small for common models",own_claim
about several tens,data
the interpolation of multiple rotations has already received some attention,background_claim
as well as interpolation of multiple general transformations,background_claim
Buss and Fillmore 2001,data
Park et al. 2002,data
Alexa 2002,data
all these methods are substantially slower then the simple linear interpolation used in LBS,background_claim
we propose an approximate but fast linear quaternion blending,own_claim
our goal is an algorithm with comparable time complexity as LBS,own_claim
this correspondence is not unique,own_claim
both quaternions q and −q represent the same rotation,data
"The SLERP of two unit quaternions p, q assumes that their dot product (p, q) ≥ 0",background_claim
"the dot product (p, q) &lt; 0",data
we use −p instead of p,own_claim
both p and −p represent the same rotation,data
The difference to SLERP is obvious,own_claim
"QLERP interpolates along the shortest segment, and then projects to arc, which does not result in the uniform interpolation of the arc",own_claim
QLERP is sufficient for our task,own_claim
t = 0,data
both QLERP and SLERP return of course p,own_claim
"t &gt; 0,",data
both QLERP and SLERP work by concatenating p with some rotation (multiplying p with some quaternion),own_claim
"It can be expressed as p ∗ s(t; p, q)",own_claim
"pr s (t) = pp ∗ s(t; p, q) = s(t; p, q)",data
"the SLERP can be written as pr s (t) and QLERP as pr l (t), where the rotations r s (t) and r l (t) have the same axis",own_claim
"this axis is constant, i.e. independent on the interpolation parameter t",own_claim
the only difference between QLERP and SLERP is in the angle of rotations r s (t) and r l (t),own_claim
"both SLERP and QLERP interpolate by multiplying the first quaternion with a rotation with the same, fixed axis",own_claim
"The difference between SLERP and QLERP is only in the angle of this rotation, and is strictly less then 0.143 radians (8.15 degrees) for any interpolation parameter t ∈ 0, 1",own_claim
This is an upper bound; practical results are much smaller and could hardly cause an observable defect in the deformed skin,own_claim
The big advantage of QLERP is that it can be easily generalized to interpolate multiple rotations,own_claim
"SLERP assumes cos θ = (p, q) ≥ 0",data
the angle θ cannot exceed π /2,own_claim
both r s (t) and r l (t) have a form of linear combination of quaternions 1 and p ∗ q,data
the results of both r s (t) and r l (t) always end up in certain 2D subspace of R 4,own_claim
we can express it as p ∗ q = cos θ + u sin θ for some axis of rotation u,own_claim
p ∗ q is a unit quaternion,data
we substitute this into equation (5),data
we obtain sin((1 − t) θ ) + sin(t θ ) cos θ r s (t) = sin θ + u sin(t θ ),own_claim
the direction of the axis u is independent on t,own_claim
"(q j 1 , q j i ) &lt; 0 for any i = 2, . . . , n",data
we replace q j i with −q j i (by analogy to SLERP),own_claim
"Then the QLERP computes s = w 1 q j 1 + . . . + w n q j n , which is subsequently normalized to s n = s/ s",own_claim
the shift of the center of rotation does not influence the interpolated rotation – it manifests only in the translation part.,own_claim
should be as efficient as possible,own_claim
The equation (9) has to be evaluated once per each vertex,own_claim
"they do not depend on the actual vertex – only on the joint’s transformation, similarly as the rotation centers r c",own_claim
The basic optimization is to pre-compute the quaternions q j i,own_claim
QLERP has to be executed for each vertex,own_claim
"weights w 1 , . . . , w n can vary",data
The vertex v can be represented by a quaternion with zero real part,own_claim
"its rotation by quaternion q can be expressed as q vq ∗ , which is a quaternion with zero real part as well",own_claim
Eberly 2001,data
this expression is not efficient for computation,own_claim
because of slow quaternion multiplication,own_claim
"it enables us to write out the rotation of v by quaternion s n as s n vs n ∗ = s 1 2 svs ∗ = (s, 1 s) svs ∗",own_claim
"This suggests to convert already the quaternion s to matrix Q and normalize subsequently by dividing (s, s)",own_claim
"we can compute the Q matrix from (9) as Q = (s,s) Q and save the sqrt operation",own_claim
we substitute r c in place of v,data
no rotation occurs,own_claim
r c is indeed a center of rotation,own_claim
n = 2 and C j 1 r c = C j 2 r c,data
the translation part becomes w 1 C j 1 r c + w 2 C j 2 r c = (w 1 + w 2 )C j 1 r c = C j 1 r c which is independent of interpolation parameters (weights),own_claim
the translation during interpolation is constant indeed,own_claim
the equation (9) is nothing but a generalization of LBS to an arbitrary method of rotation interpolation,own_claim
The choice of QLERP is not important for (9),own_claim
the matrix Q can be replaced by matrix resulting from any other interpolation scheme,own_claim
Buss and Fillmore 2001,data
we substitute Q = ∑ w i C rot j i,data
we obtain v = Q(v − r c ) + ∑ w i C j i r c = ∑ w i C rot j i v − ∑ w i C rot j i r c + ∑ w i C rot j i r c + ∑ w i C tr j i = ∑ w i C rot j i v + ∑ w i C tr j i = ∑ w i C j i v which is exactly the LBS,own_claim
equation (1),data
"LBS is a special case, which is independent of the center of rotation",own_claim
next section,data
Modeling in 3D is becoming much easier than before,background_claim
User-friendly systems,background_claim
have made the creation of 3D characters accessible to novices and children,background_claim
Teddy,data
Cosmic Blobs,data
http://www.cosmicblobs.com/,data
Igarashi et al. 1999,data
Bringing these static shapes to life,background_claim
is still not easy,background_claim
the user must rig the character manually,background_claim
In a conventional skeletal animation package,data
This requires placing the skeleton joints inside the character and specifying which parts of the surface are attached to which bone,background_claim
The tedium of this process makes simple character animation more difficult than it could be,own_claim
"We envision a system that eliminates this tedium to make animation more accessible for children, educators, researchers, and other non-expert animators",own_claim
"a child should be able to model a unicorn, click the “Quadruped Gallop” button, and watch the unicorn start galloping",data
we need a method,own_claim
"that takes a character, a skeleton, and a motion of that skeleton as input, and outputs the moving character",own_claim
Figure 1,data
The missing portion is the rigging,own_claim
motion transfer has been addressed in prior work,background_claim
Gleicher 2001,data
Our algorithm consists of two main steps,own_claim
skeleton embedding,own_claim
skin attachment,own_claim
"our method can use a generic biped skeleton to rig an anatomically correct human model, an anthropomorphic robot, and even something that has very little resemblance to a human",own_claim
A key design challenge is constructing a penalty function that penalizes undesirable embeddings and generalizes well to new characters,own_claim
we designed a maximum-margin supervised learning method to combine a set of hand-constructed penalty functions,own_claim
we tested our algorithm on 16 characters that we did not see or use during development,own_claim
Our algorithm computed a good rig for all but 3 of these characters,own_claim
each of the remaining cases,data
one joint placement hint corrected the problem,own_claim
We simplify the problem by making the following assumptions,own_claim
The character mesh must be the boundary of a connected volume,data
The character must be given in approximately the same orientation and pose as the skeleton,data
the character must be proportioned roughly like the given skeleton,data
We introduce several new techniques to solve the automatic rigging problem,own_claim
"A maximum-margin method for learning the weights of a linear combination of penalty functions based on examples, as an alternative to hand-tuning",own_claim
Section 3.3,data
An A ∗ -like heuristic to accelerate the search for an optimal skeleton embedding over an exponential search space,own_claim
Use of Laplace’s diffusion equation to generate weights for attaching mesh vertices to the skeleton using linear blend skinning,own_claim
This method could also be useful in existing 3D packages,own_claim
Section 3.4,data
Our prototype system,own_claim
rigs the given character using our algorithm,own_claim
It then transfers a motion to the character using online motion retargetting,own_claim
to eliminate footskate by constraining the feet trajectories of the character to the feet trajectories of the given motion,own_claim
Choi and Ko 2000,data
Most prior research in character animation,background_claim
has focused on professional animators,background_claim
very little work is targeted at novice users,background_claim
Recent exceptions include Motion Doodles,background_claim
Thorne et al. 2004,data
as well as the work of,background_claim
on spatial keyframing,background_claim
Igarashi et al,data
2005b,data
2005a,data
as-rigid-as-possible shape manipulation,background_claim
"These approaches focus on simplifying animation control, rather than simplifying the definition of the articulation of the characte",background_claim
their approach relies on very strong assumptions about how the character is presented,background_claim
The Motion Doodles system has the ability to infer the articulation of a 2D character,background_claim
"a spatial keyframing system expects an articulated character as input, and as-rigid-as-possible shape manipulation",background_claim
relies on the constraints to provide articulation information,background_claim
Although most skeleton-based prior work on automatic rigging focused on skeleton extraction,background_claim
we advocate skeleton embedding,own_claim
our problem,data
skeleton embedding is much more suitable than extraction,own_claim
A few approaches to the skeleton extraction problem are representative,background_claim
extract a skeleton by simplifying the Voronoi skeleton with a small amount of user assistance,background_claim
Teichmann and Teller [1998],data
use repulsive force fields to find a skeleton,background_claim
Liu et al. [2003],data
Katz and Tal [2003],data
describe a surface partitioning algorithm and suggest skeleton extraction as an application,background_claim
Wade [2000],data
The technique,background_claim
is most similar to our own,background_claim
they approximate the medial surface by finding discontinuities in the distance field,background_claim
they use it to construct a skeleton tree,background_claim
the purpose of automatically animating a character,data
the user may have motion data for a quadruped skeleton,own_claim
a complicated quadruped character,data
the extracted skeleton is likely to have a different topology,own_claim
The anatomically appropriate skeleton generation,background_claim
ameliorates this problem by techniques such as identifying appendages and fitting appendage templates,background_claim
Wade [2000],data
the overall topology of the resulting skeleton may still vary,background_claim
